When can you overtake on the left?	When the driver ahead has moved right and signalled right, when you have signalled left, or in slow-moving traffic where the left lane is moving faster.	overtaking
What is meant by a solid white line in the centre of the road?	Keep left and do not cross the line except for access or in an emergency.	markings
What does a broken yellow line mean?	It marks a hard shoulder, normally for pedestrians and cyclists; you may pull in briefly to let faster traffic pass if it is safe.	markings
What do double broken white lines along the centre of the road mean?	They warn that continuous white lines are ahead; do not cross unless it is safe.	markings
At a stop sign that has no white line, where should you stop?	At the stop sign.	junctions
Where there is a continuous and a broken white line along the centre of the road, which one do you obey?	The line nearest to you.	markings
Who has priority at a roundabout?	Traffic already on the roundabout.	right_of_way
When driving, when should you dip your headlights?	When meeting traffic, following closely behind another vehicle, on continuously lit roads, and in poor visibility such as fog, snow, dusk, or dawn.	lights
What should you do if you are dazzled by another vehicle's headlights?	Slow down and stop if necessary; watch for pedestrians and cyclists; look towards the left verge if the dazzle is from oncoming traffic.	lights
What restrictions are there in relation to the use of the horn?	Do not use it in a built-up area between 11:30 pm and 7:00 am unless there is a traffic emergency.	signals
Within what distance from the kerb should you park?	Within 45 cm.	parking
Where should you not overtake?	Near bends, hill crests, hump-back bridges, continuous white lines, entrances, taxi ranks, or where the road is narrow or visibility is poor.	overtaking
What is the sequence of traffic lights?	Green, Amber, Red, Red+Amber, Green.	lights
What does a clearway mean?	No parking during the stated times and no stopping unless you are held up in traffic.	parking
What rules apply to a box junction?	Do not enter unless you can clear it without stopping; the main exception is turning right while waiting for a safe gap without blocking traffic with priority.	junctions
What is the difference between a pelican crossing and a zebra crossing?	A pelican crossing is controlled by lights; a zebra crossing is controlled by pedestrian priority and flashing amber beacons.	crossings
What does an island in the centre of a pedestrian crossing mean?	Treat each side of a zebra crossing as a separate crossing; a staggered pelican crossing also counts as two crossings.	crossings
What do the white zig-zag lines at a zebra crossing mean?	No overtaking and no parking.	crossings
What is the speed limit on national roads and on motorways?	National roads are generally 100 km/h; motorways are generally 120 km/h unless signs say otherwise.	speed_limits
What are the speed limits in built-up areas?	Usually 50 km/h unless a special limit such as 30 km/h or 60 km/h is posted.	speed_limits
What is the minimum tread depth on tyres?	1.6 mm over the central three-quarters of the tread.	technical_checks
What are the rules regarding bus lanes?	A with-flow bus lane runs with the traffic and can be used by buses, taxis, and bicycles during the stated times; a contra-flow bus lane is generally for buses only unless signs also authorise cyclists.	bus_lanes
How far away should you park from a junction?	At least 5 metres away.	parking
What position would you take up for a right turn in a one-way street?	As close as practicable to the right-hand side.	positioning
What are hatched markings?	Diagonal or chevron markings used to separate or guide traffic; you must not enter the area they cover.	markings
What does a yield sign mean?	Give way to traffic with priority and do not proceed unless it is safe.	junctions
What is a filter light?	A green or amber arrow that lets you proceed in the direction of the arrow if it is safe.	lights
You are approaching traffic lights and they change to amber. What should you do?	Stop unless it is unsafe to do so.	lights
What does a flashing amber traffic light mean?	Proceed with caution if the crossing or junction is clear; pedestrians have priority.	lights
What do flashing red traffic lights mean?	Stop; a train is approaching or the crossing is operating.	lights
What does a continuous yellow line at the side of a road mean?	No parking during certain hours as shown.	parking
What do double continuous yellow lines at the side of the road mean?	No parking at any time.	parking
Give examples of where you would not park.	Near bends, hill crests, hump-back bridges, continuous white lines, entrances, narrow roads, taxi ranks, junctions, bus stops, or on a footpath.	parking
Within what distance from a pedestrian crossing should you not park?	Within 15 metres before it or 5 metres after it.	crossings
What procedure must you adopt if crossing a dual carriageway with a narrow central median?	Wait until you can complete the whole crossing safely if the median is too narrow for your vehicle.	dual_carriageway
What are the differences between a motorway and a dual carriageway?	Motorways have special rules, left-side exits, no crossroads, no roundabouts, and no ordinary traffic lights; a 120 km/h limit may apply on motorways.	motorway
Who has priority at an unmarked crossroads with roads of equal importance?	Traffic from the right and traffic already on the junction.	right_of_way
What are the road markings for no entry?	A continuous and a broken white line with the words NO ENTRY.	markings
What would you look out for on country roads?	Pedestrians, cyclists, animals, mud, concealed entrances, bends, and slow-moving farm machinery.	awareness
When being overtaken, what must you not do?	Increase your speed.	overtaking
Where would you never make a U-turn?	In a one-way street, where continuous white lines apply, or where a sign prohibits it.	manoeuvres
What is meant by tailgating?	Driving too close to the vehicle in front.	safe_driving
What human factors can affect your driving?	Alcohol, drugs, tiredness, fatigue, anger, attitude, and poor concentration.	safe_driving
What is coasting and why is it potentially dangerous?	Coasting is driving with the clutch down or the gear lever in neutral; it reduces your control of the vehicle.	vehicle_control
Who is responsible for seat belts?	The driver is responsible for passengers under 17; passengers aged 17 and over are responsible for themselves.	safety_rules
When following the road ahead on a multi-lane dual carriageway, which lane would you normally use?	Lane 1, the left-hand driving lane, unless signs or road markings say otherwise.	dual_carriageway
What is the 2 second rule?	A way to judge safe following distance: at least 2 seconds in dry conditions, at least 4 in wet conditions, and more in ice.	safe_driving
