question,filename,engine,query,title,image_url,source_url,creator,license
What speed limit usually applies in a built-up area in Ireland?,webq_01_what-speed-limit-usually-applies-in-a-built-up-area-in-ireland.png,commons,IE road sign F-401-50,File:IE road sign F-401-50.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/IE_road_sign_F-401-50.svg/960px-IE_road_sign_F-401-50.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_F-401-50.svg,,
"Since 7 February 2025, what is the default speed limit on many rural local roads?",webq_02_since-7-february-2025-what-is-the-default-speed-limit-on-many-rural-local-roads.png,commons,IE road sign F-401-60,File:IE road sign F-401-60.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/IE_road_sign_F-401-60.svg/960px-IE_road_sign_F-401-60.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_F-401-60.svg,,
What speed limit commonly applies on regional roads?,webq_03_what-speed-limit-commonly-applies-on-regional-roads.png,commons,Ireland speed limit 80 km/h road sign,File:IE road sign F-401-80.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/IE_road_sign_F-401-80.svg/960px-IE_road_sign_F-401-80.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_F-401-80.svg,,
What speed limit commonly applies on national roads?,webq_04_what-speed-limit-commonly-applies-on-national-roads.png,commons,Ireland speed limit 100 km/h road sign,File:IE road sign F-401-100.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/IE_road_sign_F-401-100.svg/960px-IE_road_sign_F-401-100.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_F-401-100.svg,,
What speed limit commonly applies on motorways?,webq_05_what-speed-limit-commonly-applies-on-motorways.png,commons,Ireland speed limit 120 km/h road sign,File:IE road sign RUS-039.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/IE_road_sign_RUS-039.svg/960px-IE_road_sign_RUS-039.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS-039.svg,,
"If a posted speed limit is different from the default limit, which must you obey?",webq_06_if-a-posted-speed-limit-is-different-from-the-default-limit-which-must-you-obey.jpg,commons,Ireland speed limit signs,File:Republic of Ireland speed limit signs beyond Milltown Bridge - geograph.org.uk - 6183855.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Republic_of_Ireland_speed_limit_signs_beyond_Milltown_Bridge_-_geograph.org.uk_-_6183855.jpg/960px-Republic_of_Ireland_speed_limit_signs_beyond_Milltown_Bridge_-_geograph.org.uk_-_6183855.jpg,https://commons.wikimedia.org/wiki/File:Republic_of_Ireland_speed_limit_signs_beyond_Milltown_Bridge_-_geograph.org.uk_-_6183855.jpg,,
Who has right of way at a roundabout?,webq_07_who-has-right-of-way-at-a-roundabout.png,commons,IE road sign 115,File:IE road sign 115.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/IE_road_sign_115.svg/960px-IE_road_sign_115.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_115.svg,,
Who has priority at an unmarked crossroads where roads are of equal importance?,webq_08_who-has-priority-at-an-unmarked-crossroads-where-roads-are-of-equal-importance.jpg,commons,Ireland crossroads warning sign,"File:Warning sign - crossroads, Bristol Road, Whitminster - geograph.org.uk - 6314267.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Warning_sign_-_crossroads%2C_Bristol_Road%2C_Whitminster_-_geograph.org.uk_-_6314267.jpg/960px-Warning_sign_-_crossroads%2C_Bristol_Road%2C_Whitminster_-_geograph.org.uk_-_6314267.jpg,"https://commons.wikimedia.org/wiki/File:Warning_sign_-_crossroads,_Bristol_Road,_Whitminster_-_geograph.org.uk_-_6314267.jpg",,
What must you do at a stop sign?,webq_09_what-must-you-do-at-a-stop-sign.png,commons,Ireland stop sign road sign,File:IE road sign RUS-027.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/IE_road_sign_RUS-027.svg/960px-IE_road_sign_RUS-027.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_RUS-027.svg,,
What does a yield sign mean?,webq_10_what-does-a-yield-sign-mean.png,commons,IE road sign RUS-026,File:IE road sign 201 (1962–1997).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/IE_road_sign_201_%281962%E2%80%931997%29.svg/960px-IE_road_sign_201_%281962%E2%80%931997%29.svg.png,https://commons.wikimedia.org/wiki/File:IE_road_sign_201_(1962%E2%80%931997).svg,,
What does a flashing amber traffic light mean?,webq_11_what-does-a-flashing-amber-traffic-light-mean.jpg,openverse,amber traffic light,Amber Traffic light,https://api.openverse.org/v1/images/3303eab8-4f27-46b9-840e-040b80515d82/thumb/,https://www.flickr.com/photos/46102325@N06/5133641672,Mark Morgan Trinidad B,by
What should you do at a steady amber traffic light?,webq_12_what-should-you-do-at-a-steady-amber-traffic-light.jpg,openverse,amber traffic light,Amber Traffic light,https://api.openverse.org/v1/images/3303eab8-4f27-46b9-840e-040b80515d82/thumb/,https://www.flickr.com/photos/46102325@N06/5133641672,Mark Morgan Trinidad B,by
What do flashing red lights at a railway crossing mean?,webq_13_what-do-flashing-red-lights-at-a-railway-crossing-mean.jpg,openverse,railway crossing warning lights,A footpath railway crossing at Staines Moor,https://api.openverse.org/v1/images/d2eaff56-c333-4912-97b6-b5cb03fa84b1/thumb/,https://www.flickr.com/photos/37413900@N04/4685533019,Maxwell Hamilton,by
What is a filter light?,webq_14_what-is-a-filter-light.jpg,openverse,green traffic filter arrow,UK Green Filter Traffic Light Signal Arrow - geograph.org.uk - 5094597,https://api.openverse.org/v1/images/8e6d5168-4c43-406f-8a03-1555c7d24a85/thumb/,https://commons.wikimedia.org/w/index.php?curid=134255392,Gary,by-sa
What are the rules for a yellow box junction?,webq_15_what-are-the-rules-for-a-yellow-box-junction.jpg,commons,Ireland yellow box junction road marking,"File:Road Marking-1230861, Dublin, Ireland.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Road_Marking-1230861%2C_Dublin%2C_Ireland.jpg/960px-Road_Marking-1230861%2C_Dublin%2C_Ireland.jpg,"https://commons.wikimedia.org/wiki/File:Road_Marking-1230861,_Dublin,_Ireland.jpg",,
What does a broken white line in the centre of the road mean?,webq_16_what-does-a-broken-white-line-in-the-centre-of-the-road-mean.jpg,commons,Ireland broken white line road marking,File:Road Markings on A4104 - geograph.org.uk - 481063.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Road_Markings_on_A4104_-_geograph.org.uk_-_481063.jpg,https://commons.wikimedia.org/wiki/File:Road_Markings_on_A4104_-_geograph.org.uk_-_481063.jpg,,
What does a continuous white line in the centre of the road mean?,webq_17_what-does-a-continuous-white-line-in-the-centre-of-the-road-mean.jpg,commons,Ireland continuous white line road marking,File:Warning - continuous white line approaching! - geograph.org.uk - 1072698.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Warning_-_continuous_white_line_approaching%21_-_geograph.org.uk_-_1072698.jpg,https://commons.wikimedia.org/wiki/File:Warning_-_continuous_white_line_approaching!_-_geograph.org.uk_-_1072698.jpg,,
What do double broken white lines along the centre of the road mean?,webq_18_what-do-double-broken-white-lines-along-the-centre-of-the-road-mean.jpg,commons,Ireland double broken white line road marking,File:The Level Crossing (Coleraine (Artillery Road)) Order (Northern Ireland) 1992 (NISR 1992-555).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/The_Level_Crossing_%28Coleraine_%28Artillery_Road%29%29_Order_%28Northern_Ireland%29_1992_%28NISR_1992-555%29.pdf/page1-500px-The_Level_Crossing_%28Coleraine_%28Artillery_Road%29%29_Order_%28Northern_Ireland%29_1992_%28NISR_1992-555%29.pdf.jpg,https://commons.wikimedia.org/wiki/File:The_Level_Crossing_(Coleraine_(Artillery_Road))_Order_(Northern_Ireland)_1992_(NISR_1992-555).pdf,,
